94	1	39.312482	27.544024	34
97	1	39.400546	28.230208	34
99	2	39.359003	28.668530	33
103	2	39.393921	29.262809	33
106	2	39.476422	29.280731	33
109	3	39.431988	30.300448	35
112	2	39.495284	31.121727	33
115	2	39.504177	31.846041	33
118	2	39.507269	32.492170	33
120	2	39.550872	32.826415	33
123	2	39.595777	33.279688	33
126	2	39.532219	34.582678	33
128	2	39.514215	35.256802	33
131	2	39.551445	35.457681	33
133	2	39.600831	35.627641	33
136	2	39.620253	36.700189	33
138	2	39.632189	37.266948	33
141	2	39.637326	37.183296	33
144	2	39.614324	38.564453	33
147	2	39.662199	39.199694	33
150	2	39.666626	39.719997	33
153	2	39.631632	40.385157	33
156	2	39.675279	41.576088	33
159	2	39.625125	42.367167	33
161	2	39.658314	42.703798	33
164	2	39.643784	43.568874	33
167	2	39.679219	43.636939	33
170	2	39.631783	45.668235	33
173	2	39.629002	45.409175	33
175	2	39.666530	45.836424	33
178	2	39.658016	46.752620	33
180	2	39.626849	47.536964	33
183	2	39.622830	47.638099	33
185	2	39.663408	48.138743	33
188	2	39.609481	49.569794	33
191	2	39.628668	49.910669	33
194	2	39.623127	50.506920	33
197	2	39.801755	51.069436	33
199	2	39.803286	51.578878	33
210	2	39.757359	55.025038	33
226	2	39.841812	57.701642	33
229	2	39.893759	58.046682	33
231	4	39.873506	58.055247	35

